Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, February 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5366.9 at 2014-02-14T16:38:06. Report at Friday, February 14, 2014. Processed Saturday at 2014-02-15T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
44,42,GPT,GPT Grp,6.203,3.66,+6,4.23,3.34,20.40,,5.57,5.57,5.7,33.45,10.9,-,.924,3.76,-1.4,12.3,,
45,47,FBU,Fletcher Bldg,6.019,8.75,+61,8.81,6.58,26.66,,3.05,3.62,5.9,40.10,21.8,9.4,2.010,2.20,22.8,15.0,,
46,45,JHX,James Hardie Ind,5.988,13.50,+17,13.99,8.66,24.02,,1.78,1.78,-57.5,38.70,34.9,-89.7,343.015,.11,44.6,31.5,,
47,46,CFX,CFS Retail Prop,5.885,1.95,+2,2.26,1.875,13.60,,6.97,7.00,3.8,10.44,18.7,8.2,1.021,2.04,-.1,8.5,,
48,49,AIO,Asciano,5.579,5.72,+22,6.23,4.57,11.50,f,2.01,2.87,53.3,34.90,16.4,38.9,1.535,.86,4.6,4.5,,
49,48,LEI,Leighton Hldgs,5.510,16.34,+34,24.29,14.40,105.00,p,6.43,7.80,33.3,208.10,7.9,31.8,1.889,8.37,-27.1,-15.5,,
50,50,CTX,Caltex Aust,5.381,19.93,+73,23.77,16.80,40.00,f,2.01,2.87,-11.1,31.40,63.5,-56.4,2.492,8.06,1.9,11.3,,
51,51,APA,APA Grp,5.182,6.20,+12,6.97,5.61,35.50,,5.73,5.73,1.4,38.70,16.0,5.5,2.063,1.42,7.0,23.5,,
52,52,DXS,DEXUS Prop Grp,5.107,1.065,+4.5,1.24,.98,6.18,,5.80,5.80,12.2,10.81,9.9,251.5,.984,1.08,3.6,14.1,,
53,53,IPL,Incitec Pivot,4.968,3.02,+7,3.34,2.305,9.20,p,3.05,4.02,-25.8,29.40,10.3,-26.3,1.177,.70,-3.3,-8.5,,
54,56,BEN,Bendigo & Adelaide Bk,4.805,11.72,+42,12.09,9.30,61.00,f,5.20,7.44,1.7,84.90,13.8,-3.9,1.084,6.62,21.6,14.1,,
55,55,XRO,Xero,4.761,37.33,+34,41.00,5.94,-,,-,-,-,-12.45,-,-,46.384,.48,495.4,-,,
56,54,ARG,Argo Invest,4.712,7.30,-4,7.44,6.03,27.00,f,3.70,5.28,1.9,29.80,24.5,3.3,1.252,7.31,14.5,10.3,,
57,57,FLT,Flight Centre Travel,4.692,46.67,+154,53.12,30.45,137.00,f,2.94,4.19,22.3,245.60,19.0,23.0,4.573,6.57,48.3,33.7,,
58,61,SEK,Seek,4.474,13.19,+105,13.59,8.53,22.00,f,1.67,2.38,27.2,88.30,14.9,34.0,3.450,-,33.2,29.3,,
59,58,AIA,Auckland Airport,4.391,3.32,-4,3.50,2.15,10.09,,3.04,3.04,20.9,11.34,29.3,19.1,2.085,1.59,51.2,30.6,,
60,60,SPN,SP AusNet,4.318,1.275,+5,1.32,1.105,8.28,p,6.49,7.41,3.9,8.54,14.9,-3.3,1.258,.91,14.8,23.2,,
61,59,TTS,Tatts Grp,4.308,3.04,+8,3.41,2.90,15.50,f,5.10,7.28,-32.6,17.87,17.0,-30.8,1.561,-1.28,-2.5,16.3,,
62,62,TPM,TPG Telecom,4.295,5.41,+34,5.68,2.43,7.50,f,1.39,1.98,36.4,18.80,28.8,63.4,5.998,.27,111.9,61.6,,
63,66,BLD,Boral,4.267,5.48,+52,5.62,3.97,13.00,f,2.37,3.39,-,-27.76,-,6.5,1.258,3.24,8.9,2.7,,
64,63,TEL,Telecom Corp of NZ,4.141,2.27,+12,2.34,1.755,13.03,,5.74,5.74,-15.4,10.95,20.7,-,3.479,.16,24.0,31.3,,
65,65,PTM,Platinum Asset,4.103,7.09,+40,7.10,4.82,22.00,f,3.10,4.43,4.8,22.92,30.9,.3,11.924,-,41.6,20.5,,
66,64,TOL,Toll Hldgs,4.066,5.67,+22,6.20,4.63,27.00,f,4.76,6.80,8.0,11.80,48.1,2.0,1.508,1.44,-4.0,3.0,,
67,68,ILU,Iluka Res,3.869,9.24,+50,12.08,8.05,15.00,f,1.62,2.32,-53.3,29.20,31.6,-25.4,2.469,3.74,-10.8,-1.5,,
68,71,BOQ,Bank of Qld,3.835,11.89,+85,12.76,8.08,58.00,f,4.88,6.97,11.5,58.40,20.4,838.5,1.361,-,38.1,14.8,,
69,67,WOR,WorleyParsons,3.820,15.69,+3,27.03,15.08,92.50,,5.90,7.03,1.7,130.80,12.0,-6.8,1.742,-,-39.7,-17.2,,
70,70,AWC,Alumina,3.634,1.295,+2.5,1.34,.89,-,,-,-,-100.0,-1.92,-,-,1.436,1.01,4.9,-17.3,,
71,69,SOL,Soul Pattinson WH,3.591,15.00,-1,15.60,12.94,46.00,f,3.07,4.38,4.5,44.04,34.1,3.9,.958,12.06,12.6,10.2,,
72,72,FDC,Federation Cntres,3.384,2.37,+4,2.74,2.16,15.00,,6.33,6.33,116.9,14.79,16.0,71.3,1.006,2.22,3.0,-,,
73,74,HVN,Harvey Norman,3.368,3.17,+13,3.425,2.25,9.00,f,2.84,4.05,-,13.39,23.7,2.8,1.425,2.29,31.0,5.7,,
74,76,CGF,Challenger,3.344,6.30,+35,6.42,3.52,20.00,,3.17,3.17,11.1,79.20,8.0,4.3,1.458,2.77,82.2,12.4,,
75,77,BSL,BlueScope Steel,3.313,5.93,+28,5.96,3.83,-,,-,-,-,-15.10,-,-53.0,.743,.06,30.3,-17.5,,
76,78,ALQ,ALS,3.276,8.31,+51,12.272,7.59,46.00,p,5.54,6.72,6.7,53.73,15.5,2.0,3.286,-.07,-24.3,4.3,,
77,75,REH,Reece Aust,3.171,31.84,-16,34.15,21.90,62.00,f,1.95,2.78,-32.8,120.00,26.5,5.2,4.141,7.42,39.6,14.6,,
78,73,COH,Cochlear,3.165,55.47,-214,73.86,51.79,254.00,,4.58,4.87,2.9,133.40,41.6,-16.4,8.868,1.29,-18.1,-7.0,,
79,79,ANN,Ansell,2.947,19.29,+14,22.24,14.62,38.00,,1.97,1.97,7.0,104.60,18.4,5.4,3.536,1.79,23.3,14.4,,
80,80,CPA,C'wlth Prop Office,2.945,1.255,+2,1.285,1.005,6.55,,5.22,5.22,7.5,6.19,20.3,21.6,1.090,1.15,19.3,20.6,,
81,83,HGG,Henderson Grp,2.882,4.34,+25,4.40,2.23,11.42,,2.63,2.63,38.8,18.42,23.6,12.8,2.371,.16,92.3,24.8,,
82,81,NHC,New Hope Corp,2.817,3.39,-1,4.422,3.257,11.00,f,3.24,4.63,-64.5,8.90,38.1,-27.0,1.397,2.40,-14.2,-6.6,,
83,87,ALL,Aristocrat Leisure,2.724,4.94,+26,5.12,3.49,14.50,,2.94,2.94,-,19.50,25.3,132.9,7.256,.41,37.1,19.2,,
84,86,TAH,Tabcorp Hldgs,2.715,3.60,+9,3.685,2.99,16.00,f,4.44,6.35,-20.8,17.05,21.1,-60.3,1.921,1.48,18.6,8.1,,
85,84,DUE,DUET Grp,2.714,2.11,+3,2.53,1.95,16.75,,7.94,7.94,3.1,.51,413.7,11.1,1.783,1.30,3.6,19.5,,
