Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4472.4 at 16:37 4/6/2010  Report at 22:00 Friday 4/6/2010. Processed 13:53 Sunday 6/6/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
102,103,CPA,C'wlth Prop ord unt   ,1.912,0.95,1,1.045,0.735,6.85,,7.21,7.21,-4.3,-11.41,-,-10.9,0.90,1.11,14.5,-12.9
103,108,PRY,Primary Health Care,1.887,3.84,15,6.56,3.63,22,f,5.73,8.18,-48.1,42.08,9.1,42.2,0.89,-1.15,-23.5,-22.0
104,100,CGF,Challenger FSG Ltd,1.882,3.64,-11,4.50,2.02,13.5,,3.71,3.71,-,35.2,10.3,4.0,1.11,3.36,68.5,-10.4
105,106,TEN,Ten Network Hldgs,1.871,1.79,2,1.94,1.00,2,,1.12,1.59,-85.2,4.62,38.7,-47.6,2.32,-0.29,53.0,-10.6
106,104,GFF,Goodman Fielder,1.857,1.345,-1.5,1.78,1.205,11.25,,8.36,8.74,-22.2,14.4,9.3,-17.1,1.15,-0.16,10.7,-11.4
107,105,MYR,Myer Hldgs Ltd,1.82,3.13,-8,3.98,2.86,10.5,f,3.35,4.79,-,4.1,76.3,-,2.47,-0.21,-,-
108,110,BKW,Brickworks Ltd,1.799,12.22,12,16.80,10.88,39.5,f,3.23,4.62,-,100.5,12.2,2.8,1.31,9.06,-8.3,-1.8
109,112,ABC,Adelaide Brighton,1.785,2.81,9,3.01,2.03,13.5,f,4.80,6.86,-10.0,20.4,13.8,1.5,1.99,1.21,31.7,-2.9
110,116,FLT,Flight Centre,1.781,17.85,145,21.43,8.20,26,f,1.46,2.08,-89.5,63.4,28.2,-33.1,2.92,2.56,108.9,0.7
111,109,CPB,Campbell Brothers,1.781,28.28,-12,32.00,17.981,100,p,3.54,4.29,4.2,129.06,21.9,-33.5,2.83,3.76,47.5,4.6
112,113,HSP,Healthscope Ltd,1.756,5.54,31,5.62,3.99,22.5,f,4.06,5.80,10.3,29.78,18.6,12.9,1.94,0.66,32.3,6.5
113,117,MGX,Mount Gibson Iron,1.74,1.615,11,2.09,0.80,-,,-,-,-,6.56,24.6,-56.7,2.23,0.78,79.5,-1.2
114,121,CEY,Centennial Coal,1.722,4.36,36,5.00,2.07,8,p,1.83,2.42,-47.6,15.8,27.6,30.9,2.61,1.87,81.1,35.5
115,114,ANN,Ansell Ltd,1.713,13.02,51,13.48,8.16,29,,2.23,2.23,5.7,81.7,15.9,21.4,2.68,1.92,52.7,4.7
116,119,TPM,TPG Telecom Ltd,1.701,2.22,15,2.58,0.31,3,f,1.35,1.93,-,5.7,38.9,-,5.24,0.06,526.7,54.2
117,111,EXT,Extract Res,1.695,6.98,-31,11.45,5.495,-,,-,-,-,-4.96,-,-28.9,16.33,-,8.0,102.9
118,120,IOF,ING Office Fd stp,1.583,0.58,,0.67,0.43,5.05,,8.71,8.71,-,-16.7,-,18.5,0.87,0.74,32.4,-21.5
119,118,MLT,Milton Corp,1.582,16.30,-6,19.40,14.25,70,f,4.29,6.13,-11.4,44.7,36.5,-40.8,1.27,18.37,17.0,-5.9
120,95,DOW,Downer EDI Ltd,1.562,4.64,-167,9.44,4.37,29.1,,6.27,6.27,13.7,54.4,8.5,10.9,1.17,2.15,-13.9,-10.9
121,125,AND,Andean Res Ltd,1.54,3.27,3,3.58,1.68,-,,-,-,-,-4.64,-,-40.2,22.59,-,87.9,50.7
122,124,CEU,ConnectEast stp,1.537,0.39,,0.49,0.282,2,,5.13,5.13,-79.9,-21.74,-,537.4,1.02,-,40.3,-32.5
123,122,NUF,Nufarm Ltd,1.537,5.87,-13,11.819,5.63,15,,2.56,2.56,-22.9,-17.4,-,-11.1,0.94,3.07,-35.2,-23.3
124,123,TSE,Transfield Services,1.516,3.66,-10,4.80,2.10,12.25,f,3.35,4.78,-50.9,-15.18,-,-5.1,1.95,0.29,64.6,-18.6
125,115,NVT,Navitas Ltd,1.513,4.42,-37,5.56,2.61,16.9,f,3.82,5.46,31.2,16.8,26.3,32.8,15.35,-0.25,68.9,36.7
126,128,PNA,PanAust Ltd,1.477,0.50,2,0.65,0.30,-,,-,-,-,0.96,52.1,-,2.54,0.20,38.9,-5.2
127,132,SKT,Sky Net,1.463,3.76,19,4.15,3.23,11.39,,3.03,3.03,106.9,19.63,19.2,-8.2,1.51,-0.47,13.2,-7.8
128,126,WAN,West Aust News,1.445,6.69,-11,8.48,4.13,29,f,4.33,6.19,-37.7,37.3,17.9,-20.6,21.31,-,59.2,-16.9
129,130,DUE,DUET Grp forus,1.436,1.65,3,1.90,1.42,20,p,12.12,12.27,-7.5,4.39,37.6,104.1,1.00,-,13.1,-16.0
130,129,ALZ,Australand Prop stp,1.419,2.46,1,3.05,1.835,5,,2.03,2.03,-50.5,-13.4,-,-55.1,0.63,0.68,480.2,28.3
131,127,IFL,IOOF Hldgs Ltd,1.409,6.13,-19,7.40,3.74,21,f,3.43,4.89,-86.7,19.5,31.4,-29.0,1.60,0.56,56.0,-11.9
132,139,APN,APN News & Media,1.365,2.28,8,2.61,1.32,4,f,1.75,2.50,-81.7,16.7,13.7,-40.2,1.18,-0.78,57.2,-20.8
133,133,REA,REA Grp,1.359,10.58,-15,12.60,5.14,10,,0.95,1.35,-,10.04,105.4,-95.8,14.53,0.45,80.2,21.8
134,135,SKC,Sky City Entertain,1.357,2.36,-1,2.89,2.03,11.69,,4.95,4.95,-29.2,19.09,12.4,-9.5,2.27,0.53,14.9,-17.5
135,134,KAR,Karoon Gas Aust,1.324,7.46,-28,12.10,4.51,-,,-,-,-,-15.25,-,-,3.96,-,-17.9,46.3
136,131,PIH,Prime Infr Grp stp,1.319,3.75,-24,4.57,0.034,-,,-,-,-,-,-,-,-,-,-,-
137,140,CQO,Charter Hall Office unt,1.316,0.27,0.5,0.355,0.19,2.5,,9.26,9.26,-66.5,10.03,2.7,-,0.58,0.44,28.6,-41.6
138,137,FPH,Fisher & Paykel H,1.312,2.56,-4,2.83,2.20,9.89,,3.86,3.86,-4.5,10.85,23.6,7.2,5.77,0.34,9.7,-2.3
139,138,HGG,Henderson Grp cdi,1.307,2.32,-4,2.67,1.685,10.69,,4.61,4.61,-10.1,3.23,71.8,-43.9,2.59,-0.18,25.7,-7.2
140,136,PPT,Perpetual Ltd,1.293,29.78,-102,41.39,25.23,165,f,5.54,7.92,-69.7,183.4,16.2,-51.4,4.46,4.46,9.0,-23.9
141,141,HTA,Hutchison,1.289,0.095,,0.135,0.09,-,,-,-,-,6.27,1.5,-,-,0.10,-,-
142,143,BLY,Boart Longyear,1.282,2.78,-1,4.10,1.372,-,,-,-,-100.0,-0.67,-,-97.5,1.23,0.14,32.6,-45.7
143,144,AUN,Austar United,1.266,1.005,2,1.465,0.725,-,,-,-,-,4.7,21.4,118.4,-,-0.31,14.2,-15.4
144,147,SGT,Singapore Tel cdi,1.241,2.50,13,2.94,2.25,4.94,,1.98,1.98,-56.7,19.12,13.1,-16.0,0.07,0.65,2.5,2.4
145,150,ZIM,Zimplats Hldgs,1.184,11.00,30,12.65,7.50,-,,-,-,-,35.15,31.3,-,2.31,-,42.9,-6.8
146,146,SKI,Spark Infrastructure stp,1.171,1.135,-0.5,1.445,1.025,13.56,,11.95,11.95,-0.4,12.08,9.4,136.2,2.03,1.78,12.8,-4.6
147,145,CRZ,Carsales Com Ltd,1.167,5.02,-8,5.86,3.56,6.6,f,1.31,1.88,-,8.2,61.2,-,-,0.01,-,-
148,153,AWE,AWE Ltd,1.138,2.18,8,3.17,1.915,-,,-,-,-,1.43,152.4,-58.4,1.04,1.74,-15.2,-13.4
149,148,TPI,Transpacific Indust,1.134,1.18,-3,1.785,1.03,-,,-,-,-100.0,-58.1,-,-66.8,0.84,-0.23,-8.4,-49.7
150,149,GNC,Graincorp Ltd,1.121,5.65,-20,8.85,5.10,22.27,f,3.94,5.63,-,63.62,8.9,-,1.62,4.78,-4.0,-20.8
