Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 19:08 Thursday 1/4/2010. Processed 14:20 Monday 5/4/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
81,81,PTM,Platinum Asset,2.923,5.21,,6.34,3.43,20,f,3.84,5.48,-16.7,23.41,22.3,-22.0,15.06,-,33.5,-
82,82,BBG,Billabong Intl,2.837,11.22,,12.19,7.64,36,p,3.21,3.90,-15.1,57.2,19.6,-19.5,2.41,0.84,15.4,-7.0
83,83,RHC,Ramsay Health Care,2.803,13.87,,14.19,9.12,40,f,2.88,4.12,16.9,64.2,21.6,25.3,3.08,1.70,54.9,9.7
84,84,SEK,Seek Ltd,2.736,8.13,,8.18,2.87,9.9,f,1.22,1.74,-50.5,18.4,44.2,-28.9,9.48,0.55,150.8,5.6
85,85,CSR,CSR Ltd,2.659,1.755,,2.18,1.215,4,f,2.28,3.25,-47.7,-45.1,-,-39.0,1.68,0.87,36.1,-16.0
86,86,WHC,Whitehaven Coal,2.631,5.33,,5.54,1.68,8.8,f,1.65,2.36,400.0,28.3,18.8,431.8,3.64,2.09,172.3,-
87,87,ITO,Intoll Grp stp,2.533,1.12,,1.71,1.07,12,,10.71,11.05,-,-16.38,-,58.6,0.61,1.78,-9.9,-27.8
88,88,REH,Reece Aust Ltd,2.50,25.10,,26.65,15.90,53,f,2.11,3.02,-10.5,109,23.0,-12.3,4.69,5.41,35.6,3.2
89,89,BOQ,Bank of Qld,2.493,11.68,,13.49,7.384,52,f,4.45,6.36,-27.9,75.9,15.4,-25.9,1.18,6.62,42.1,-9.8
90,90,SPN,SP AusNet stp,2.489,0.92,,0.975,0.725,9.92,p,10.78,12.26,2.5,8.04,11.4,1.0,1.12,0.91,6.3,-4.3
91,91,DOW,Downer EDI Ltd,2.483,7.44,,9.44,4.41,29.1,,3.91,3.91,13.7,54.4,13.7,10.9,1.87,2.15,53.5,3.7
92,92,UGL,UGL Ltd,2.452,14.78,,15.97,9.02,64,f,4.33,6.19,10.3,80.9,18.3,8.4,2.19,-0.43,60.7,2.7
93,93,ALL,Aristocrat Leisure,2.384,4.47,,5.75,3.24,4.5,,1.01,1.44,-81.3,-31.3,-,-24.3,15.50,0.07,25.2,-32.7
94,94,DJS,David Jones Ltd,2.377,4.72,,5.96,2.84,29,f,6.14,8.78,3.7,33,14.3,8.5,3.46,1.22,64.8,5.2
