Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, August 1, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5547.6 at 2014-08-01T16:41:36. Report at Friday, August 1, 2014. Processed Saturday at 2014-08-02T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
114,116,IFL,IOOF Hldgs,2.012,8.67,+8,9.93,8.01,45.00,f,5.19,7.41,13.5,40.90,21.2,12.6,2.465,.09,7.4,17.9,,
115,108,FXJ,Fairfax Media,2.011,.855,-4.5,1.065,.50,3.00,f,3.51,5.01,-33.3,-8.90,-,-,1.107,.27,63.2,4.7,,
116,112,SKC,SkyCity Entertain,2.008,3.45,-4,3.90,3.20,16.61,f,4.81,5.79,24.8,19.24,17.9,4.6,2.933,.67,6.5,13.2,,
117,121,SWM,Seven West Media,1.998,2.00,+7,2.595,1.645,12.00,f,6.00,8.57,-48.8,19.32,10.4,-5.0,.698,-,-10.1,-8.3,,
118,114,GNC,GrainCorp,1.986,8.68,-16,12.52,7.50,35.00,f,4.03,5.76,14.3,45.10,19.2,-23.4,1.130,5.62,-27.4,10.5,,
119,122,AIZ,Air New Zealand,1.945,1.745,+1.5,2.12,1.15,8.52,,4.88,4.88,54.6,18.53,9.4,181.9,1.271,1.43,52.1,31.8,,
120,123,JBH,JB Hi-Fi,1.939,19.60,+18,23.13,17.48,77.00,f,3.93,5.61,10.8,125.20,15.7,10.5,7.954,2.31,7.0,15.0,,
121,118,BTT,BT Invest Mgt,1.905,6.70,-20,7.45,3.56,26.00,p,3.88,4.56,44.0,43.30,15.5,45.7,3.394,.27,88.7,57.4,,
122,124,CSR,CSR,1.887,3.73,-2,3.86,2.14,10.00,,2.68,2.68,96.1,17.40,21.4,114.3,1.636,2.16,71.4,18.1,,
123,119,NVT,Navitas,1.886,5.02,-15,7.88,4.43,19.50,f,3.88,5.55,-,13.70,36.6,10.0,8.909,-.56,-16.5,14.3,,
