Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, November 2, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4483.3 at 2012-11-02T16:42:06. Report at Friday, November 2, 2012. Processed Saturday at 2012-11-03T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
40,40,CFX,CFS Retail Prop,5.501,1.945,-2,2.02,1.655,13.10,p,6.74,6.74,3.1,14.42,13.5,-.2,.940,2.07,13.5,6.7,,
41,42,ASX,ASX,5.149,29.40,-32,33.49,27.53,177.90,f,6.05,8.64,-2.9,193.70,15.2,-.7,1.719,3.85,2.8,1.7,,
42,44,SHL,Sonic Healthcare,5.107,12.91,+4,13.98,10.84,59.00,p,4.57,5.37,-,81.10,15.9,6.9,1.956,-2.40,17.3,1.7,,
43,43,IPL,Incitec Pivot,5.082,3.12,-3,3.64,2.62,11.50,p,3.69,3.91,47.4,19.00,16.4,19.3,1.371,.54,-1.7,5.4,,
44,41,MGR,Mirvac Grp,5.036,1.47,-5,1.56,1.145,8.40,,5.71,5.71,2.4,12.20,12.0,1.7,.875,1.66,22.0,3.6,,
45,45,AFI,Aust Foundation,4.943,4.78,+3,4.83,3.93,21.00,f,4.39,6.28,-,23.02,20.8,-6.8,1.251,4.60,22.4,1.7,,
46,46,LLC,Lend Lease Grp,4.871,8.48,-5,8.81,6.87,38.00,,4.48,4.48,8.6,92.70,9.1,9.6,1.245,4.38,22.8,3.3,,
47,49,RHC,Ramsay Health Care,4.795,23.73,+23,25.69,17.81,60.00,f,2.53,3.61,15.4,112.70,21.1,15.1,3.410,2.40,31.3,33.5,,
48,47,CPU,Computershare,4.784,8.61,-3,9.17,7.26,28.00,p,3.25,4.09,-,27.63,31.2,-20.0,4.144,-.02,11.4,-4.0,,
49,48,DXS,DEXUS Prop Grp,4.670,.965,-2,1.015,.78,5.35,,5.54,5.54,3.3,3.75,25.7,-62.9,.933,1.00,18.5,12.7,,
50,50,CTX,Caltex Aust,4.660,17.26,+96,17.48,11.66,45.00,f,2.61,3.72,-25.0,-302.40,-,164.8,2.101,8.13,39.5,25.7,,
51,51,AIO,Asciano,4.399,4.51,+6,4.97,1.375,7.50,f,1.66,2.37,25.0,24.70,18.3,1.7,1.314,.65,.3,-2.2,,
52,52,ILU,Iluka Res,4.095,9.78,-40,19.055,7.72,80.00,f,8.18,11.69,837.5,161.20,6.1,1302.6,2.668,3.76,-29.2,43.3,,
53,53,COH,Cochlear,4.087,71.71,+34,74.00,51.31,245.00,p,3.42,4.11,8.9,100.00,71.7,-10.0,10.619,3.13,34.2,7.7,,
54,54,JHX,James Hardie Ind,4.071,9.26,+28,9.475,5.96,41.46,,4.48,4.48,-,133.63,6.9,-,33.498,.28,45.6,6.5,,
55,55,APA,APA Grp,4.019,5.08,+12,5.34,4.31,35.00,,6.89,6.89,1.7,20.40,24.9,11.0,2.490,1.58,20.1,26.2,,
56,57,TTS,Tatts Grp,3.808,2.75,+1,2.96,2.25,23.00,f,8.36,11.95,7.0,23.80,11.6,16.8,1.430,-1.05,30.6,14.1,,
57,56,FBU,Fletcher Bldg,3.794,5.54,-8,6.06,4.34,24.97,,4.51,5.39,3.9,21.30,26.0,-17.0,1.345,2.08,28.5,.2,,
58,58,NHC,New Hope Corp,3.638,4.38,-10,5.891,3.554,11.00,f,2.51,3.59,7.3,20.10,21.8,28.0,1.615,2.69,-20.5,6.1,,
59,60,ARG,Argo Invest,3.603,5.73,+1,5.80,4.96,26.00,f,4.54,6.48,-,26.80,21.4,-4.7,1.123,5.78,19.4,-.4,,
60,59,TEL,Telecom Corp of NZ,3.548,1.91,-3.5,2.20,1.39,15.27,,7.99,7.99,41.4,47.22,4.0,39.8,2.787,.31,34.6,16.3,,
61,61,SPN,SP AusNet,3.507,1.05,-.5,1.135,.873,8.00,p,7.62,8.70,-,8.95,11.7,-2.6,1.198,.88,17.1,15.3,,
62,62,SOL,Soul Pattinson WH,3.270,13.66,-5,14.30,12.30,44.00,f,3.22,4.60,10.0,59.81,22.8,6.9,.867,11.69,2.9,3.4,,
63,66,TWE,Treasury Wine Estates,3.236,5.00,+11,5.60,3.41,13.00,p,2.60,3.16,116.7,13.90,36.0,8.3,1.101,3.10,32.4,-,,
64,65,BEN,Bendigo & Adelaide Bk,3.182,7.91,-7,9.64,6.82,60.00,f,7.59,10.84,-,48.60,16.3,-10.9,.754,6.16,-4.9,3.0,,
65,68,TOL,Toll Hldgs,3.163,4.41,+13,5.98,3.72,25.00,f,5.67,8.10,-,9.00,49.0,-4.8,1.152,1.33,-.8,-14.7,,
66,63,MTS,Metcash,3.162,3.59,-10,4.37,3.12,28.00,f,7.80,11.14,3.7,11.69,30.7,6.9,2.368,-.28,-4.0,-2.2,,
67,64,ALQ,ALS,3.109,9.13,-40,13.984,7.23,45.00,p,4.93,5.98,60.7,65.89,13.9,62.3,3.342,.48,-1.9,21.4,,
68,70,CRF,Centro Retail Aust,3.069,2.15,+3,2.17,1.655,6.50,,3.02,3.02,-,-16.63,-,-,.917,2.21,-,-,,
69,67,WHC,Whitehaven Coal,3.019,2.98,-7,5.622,2.74,7.10,f,2.38,3.40,-59.5,10.90,27.3,-32.2,.885,3.38,-37.9,-7.0,,
70,69,QAN,Qantas Airways,2.933,1.295,-5,1.825,.96,-,,-,-,-,-10.80,-,-24.0,.498,2.33,-14.5,-20.7,,
71,71,EGP,Echo Entertainment,2.923,3.54,-3,4.416,3.269,4.00,,1.13,1.61,-,5.90,60.0,-46.2,1.038,1.15,2.4,-,,
72,73,GNC,GrainCorp,2.796,12.25,+5,12.69,6.901,30.00,f,2.45,3.50,20.0,109.97,11.1,146.4,2.037,5.42,78.5,33.2,,
73,74,BLD,Boral,2.766,3.61,+5,4.49,2.93,11.00,f,3.05,4.35,-24.1,23.79,15.2,-60.2,.813,3.31,6.1,-10.2,,
74,72,AIA,Auckland Airport,2.711,2.05,-6,2.15,1.70,8.28,,4.04,4.04,21.9,8.43,24.3,16.1,1.400,1.46,19.3,17.1,,
75,75,FLT,Flight Centre,2.692,26.88,+28,27.955,16.12,112.00,f,4.17,5.95,33.3,200.10,13.4,16.3,3.141,5.04,49.5,20.2,,
76,79,RRL,Regis Res,2.508,5.51,+47,5.87,3.06,-,,-,-,-,15.51,35.5,77.8,10.541,-,67.5,112.4,,
77,77,OZL,OZ Minerals,2.440,8.04,-13,11.80,6.00,40.00,,4.98,4.98,-14.3,88.90,9.0,-39.8,.873,8.18,-19.5,-9.4,,
78,76,CPA,C'wlth Prop Office,2.429,1.035,-4.5,1.125,.90,6.09,p,5.88,5.88,10.7,10.66,9.7,4.8,.896,1.16,14.6,9.6,,
79,80,DUE,DUET Grp,2.289,2.05,-,2.20,1.685,16.00,,7.80,7.80,-19.3,4.44,46.2,-61.5,1.459,1.41,27.1,15.9,,
80,78,BOQ,Bank of Qld,2.282,7.39,-13,8.29,6.13,52.00,f,7.04,10.05,217.3,-10.20,-,-88.0,.787,6.94,3.7,-6.5,,
81,83,AWC,Alumina,2.282,.935,+2.5,1.565,.625,2.80,,2.99,4.28,-8.5,1.92,48.7,52.7,.812,.96,-29.6,-13.1,,
82,82,REA,REA Grp,2.262,17.17,-8,18.03,11.57,33.00,f,1.92,2.75,26.9,66.20,25.9,24.7,9.027,1.39,43.0,29.5,,
83,81,SEK,Seek,2.235,6.63,-12,7.55,5.08,17.30,f,2.61,3.73,21.0,39.10,17.0,5.7,2.898,-,18.6,4.0,,
84,85,SKI,Spark Infrastructure,2.196,1.655,+5,1.722,1.22,10.50,,6.34,6.34,-26.1,12.24,13.5,41.0,1.646,1.67,39.7,20.5,,
85,84,SVW,Seven Grp Hldgs,2.115,6.88,-28,10.76,6.35,38.00,f,5.52,7.89,5.6,43.00,16.0,45.7,.820,4.53,3.9,6.7,,
86,89,REH,Reece Aust,2.096,21.04,+54,21.40,17.65,61.00,f,2.90,4.14,-,114.00,18.5,-4.5,2.964,6.85,17.3,-.9,,
87,93,PNA,PanAust,2.054,3.39,+11,3.84,2.19,3.00,,.88,.88,-,22.17,15.3,-9.6,2.334,1.54,9.0,9.3,,
88,88,MLT,Milton Corp,2.051,16.86,-4,17.05,13.87,78.00,f,4.63,6.61,2.6,83.90,20.1,5.1,1.090,17.07,22.6,2.6,,
89,90,ANN,Ansell,2.023,15.47,-3,16.87,12.76,35.50,,2.29,2.29,7.6,99.10,15.6,7.1,2.807,2.43,11.2,16.0,,
90,87,TAH,Tabcorp Hldgs,1.982,2.70,-15,3.36,2.63,24.00,f,8.89,12.70,-44.2,47.60,5.7,-40.9,1.410,-1.66,4.1,1.7,,
91,86,HVN,Harvey Norman,1.981,1.865,-11,2.25,1.78,9.00,f,4.83,6.89,-25.0,16.24,11.5,-15.5,.874,2.21,-7.1,-20.8,,
92,92,PTM,Platinum Asset,1.976,3.52,-4,4.43,3.34,21.00,f,5.97,8.52,-16.0,22.51,15.6,-14.5,8.016,-,.4,-5.0,,
93,94,CMJ,Consolidated Media,1.933,3.44,+1,3.46,2.39,16.50,f,4.80,5.54,-,15.27,22.5,-5.6,6.003,.57,44.5,8.8,,
94,91,ABC,Adelaide Brighton,1.925,3.02,-14,3.40,2.73,16.50,f,5.46,7.80,-,24.20,12.5,-2.1,2.011,1.23,10.0,13.2,,
95,98,MND,Monadelphous Grp,1.910,21.07,+60,24.37,18.31,125.00,f,5.93,8.48,31.6,155.24,13.6,33.2,7.777,2.70,12.3,24.2,,
96,96,PRY,Primary Health Care,1.886,3.75,+2,3.92,2.62,11.00,f,2.93,4.19,37.5,23.30,16.1,11.5,.733,-1.32,21.6,-10.3,,
