Australian Sharemarket: Top 300 Stocks
"Based on Market Capitalisation at close of trade Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:12 PM."



This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
18,18,SUN,Suncorp Grp,16.134,12.54,+17,15.08,12.18,76.00,f,6.06,7.36,1.3,88.61,14.2,52.7,1.177,-,-5.8,17.9,
19,20,BXB,Brambles,15.466,9.87,+12,11.95,9.085,28.00,p,2.84,3.20,3.7,48.59,20.3,26.8,4.443,.74,5.1,14.8,
20,19,AMC,Amcor,15.386,13.06,-11,14.93,10.83,52.95,,4.05,4.05,17.5,73.70,17.7,-2.6,7.508,-.51,20.7,27.8,
21,21,SYD,Sydney Airport,13.065,5.86,+9,5.90,4.05,24.50,,4.18,4.18,4.4,6.17,95.0,-13.8,8.492,2.80,41.7,29.3,
22,23,RHC,Ramsay Health Care,12.323,60.98,+234,69.22,47.60,101.00,f,1.66,2.37,18.8,185.00,33.0,11.9,6.465,.30,19.2,37.1,
23,22,IAG,Insurance Aust Grp,12.157,5.00,+10,6.61,4.79,29.00,f,5.80,8.28,-25.6,31.22,16.0,-32.9,1.698,1.34,-15.6,10.3,
24,24,OSH,Oil Search,11.405,7.49,+4,9.33,5.62,19.12,,2.55,2.55,170.5,37.28,20.1,69.5,1.851,3.39,-13.5,1.6,
25,25,AGL,AGL Energy,11.038,16.36,+26,17.25,12.55,64.00,f,3.91,5.59,5.6,33.30,49.1,19.8,1.232,8.22,24.2,8.1,
26,27,AZJ,Aurizon Hldgs,10.971,5.17,+18,5.605,4.15,24.00,p,4.64,4.99,45.5,28.40,18.2,-2.1,1.628,3.00,16.2,17.8,
27,26,FDC,Federation Cntres,10.530,2.66,-3,3.19,2.49,16.90,,6.35,6.35,10.5,25.56,10.4,38.6,1.005,2.45,11.7,15.6,
28,28,GMG,Goodman Grp,10.072,5.69,-5,6.70,5.085,22.20,,3.90,3.90,7.2,69.20,8.2,5.9,1.377,3.46,14.8,17.8,
29,29,RMD,ResMed Inc,9.903,7.05,-7,9.84,5.24,12.33,,1.75,1.75,29.0,32.68,21.6,24.5,4.852,-,27.4,24.8,
30,33,NCM,Newcrest Min,9.681,12.63,+171,15.34,8.51,-,,-,-,-,71.20,17.7,21.5,.924,11.72,3.8,-27.8,
31,31,APA,APA Grp,9.394,8.43,+29,9.88,6.834,38.00,,4.51,4.51,9.5,56.30,15.0,-10.4,2.070,-.28,20.3,28.4,
32,30,SGP,Stockland,9.153,3.85,-,4.82,3.73,24.00,,6.23,6.23,-,38.50,10.0,8.4,1.042,3.68,3.0,11.6,
33,35,CTX,Caltex Aust,8.629,31.96,+183,38.81,27.45,97.00,f,3.04,4.34,105.9,85.90,37.2,-48.8,3.212,9.47,10.8,24.8,
34,42,TPM,TPG Telecom,8.317,10.18,+73,10.25,6.05,10.25,f,1.01,1.44,23.3,23.60,43.1,15.1,9.275,.26,39.7,64.8,
35,39,AIO,Asciano,8.242,8.45,+22,8.75,5.48,16.75,f,1.98,2.83,-42.1,26.10,32.4,18.3,2.023,.93,37.8,25.9,
36,32,S32,South32,8.199,1.54,-14.5,2.45,1.40,-,,-,-,-,-,-,-,.624,-,-,-,
37,38,GPT,GPT Grp,8.041,4.48,-1,4.89,3.77,21.70,,4.84,4.84,3.9,48.75,9.2,-22.0,1.151,4.03,22.1,15.7,
38,34,CIM,Cimic Grp,7.985,23.59,-51,24.475,18.08,99.00,f,4.20,5.99,4.8,190.27,12.4,-,2.157,9.84,31.1,19.4,
39,41,QAN,Qantas Airways,7.973,3.63,+9,3.90,1.25,-,,-,-,-,25.40,14.3,44.8,2.256,1.05,155.2,42.6,
40,40,CWN,Crown Resorts,7.932,10.89,+12,16.12,10.395,37.00,p,3.40,4.12,-,52.86,20.6,-30.3,1.702,4.40,-19.7,8.7,
41,37,JHX,James Hardie Ind,7.927,17.74,-43,20.04,11.16,44.63,,2.52,2.52,2.8,85.15,20.8,256.8,-,.60,58.7,34.7,
42,36,ORG,Origin Energy,7.834,7.06,-27,15.33,7.00,50.00,,7.08,7.08,-,-59.47,-,17.4,.574,6.08,-48.3,-9.9,
43,43,SHL,Sonic Healthcare,7.747,19.26,+8,23.73,16.81,70.00,p,3.63,4.49,4.5,90.50,21.3,-5.3,2.307,-2.70,13.1,16.7,
44,44,LLC,Lend Lease Grp,7.662,13.20,+14,17.72,12.97,54.00,p,4.09,4.28,-56.2,112.40,11.7,-37.3,1.467,6.41,-5.9,23.6,
45,45,ASX,ASX,7.496,38.72,+62,45.37,34.07,187.40,f,4.84,6.91,5.2,205.70,18.8,5.0,1.962,6.97,11.5,14.7,
46,46,DXS,DEXUS Prop Grp,7.048,7.26,-10,8.25,1.10,41.04,,5.65,5.65,9.3,67.58,10.7,11.7,1.054,6.68,15.9,15.3,
47,47,CCL,Coca-Cola Amatil,6.743,8.83,+30,11.00,8.165,42.00,p,4.76,6.29,-25.0,35.80,24.7,-25.4,3.862,2.18,2.0,-10.2,
48,49,MPL,Medibank Private,6.637,2.41,+9,2.59,1.99,5.30,f,2.20,3.14,-,10.40,23.2,-,4.431,.43,-,-,
49,52,IPL,Incitec Pivot,6.422,3.81,+21,4.40,2.655,11.70,,3.07,3.15,17.4,16.70,22.8,18.3,1.377,.77,38.0,10.5,
50,48,AFI,Aust Foundation,6.419,5.85,-2,6.45,5.72,23.00,f,3.93,5.62,4.5,27.23,21.5,11.5,1.183,5.48,2.3,14.0,
51,51,FMG,Fortescue Metals Grp,6.414,2.06,+3,3.86,1.582,5.00,f,2.43,3.47,-75.0,13.26,15.5,-85.8,.644,3.14,-39.7,-13.9,
52,50,MGR,Mirvac Grp,6.311,1.705,-2,2.19,1.635,9.40,,5.51,5.51,4.4,16.51,10.3,4.8,.988,1.74,6.3,12.2,
53,54,REA,REA Grp,5.877,44.62,+111,51.38,37.33,70.00,f,1.57,2.24,22.8,159.40,28.0,33.7,10.269,-,2.3,42.5,
54,53,CPU,Computershare,5.874,10.56,+21,13.56,9.05,31.00,p,2.94,3.22,6.9,35.95,29.4,22.1,3.754,-,-12.6,10.5,
55,55,ORI,Orica,5.707,15.42,+23,22.73,14.79,96.00,p,6.23,7.18,2.1,157.60,9.8,-2.1,1.278,5.50,-18.3,-12.3,
56,57,ALL,Aristocrat Leisure,5.343,8.43,+19,9.00,5.69,16.00,,1.90,1.90,-3.0,-1.01,-,48.8,7.397,1.62,44.3,48.9,
57,60,TTS,Tatts Grp,5.274,3.61,+14,4.20,3.02,16.50,f,4.57,6.53,22.2,17.42,20.7,10.6,1.706,-,14.5,13.6,
58,59,AIA,Auckland Airport,5.262,4.42,+16,4.97,3.34,13.53,,3.06,3.06,115.3,16.63,26.6,3.8,1.882,2.27,28.5,30.3,
59,56,SPK,Spark New Zealand,5.228,2.84,-8,3.35,2.35,18.71,,6.59,6.59,16.7,17.71,16.0,10.1,3.414,.32,17.3,23.1,
60,58,ARG,Argo Invest,5.226,7.81,+13,8.50,7.35,29.50,f,3.78,5.40,5.4,34.30,22.8,13.8,1.165,7.13,5.4,16.4,
61,61,DUE,DUET Grp,4.991,2.15,-,2.589,2.02,17.50,,8.14,8.14,3.7,3.39,63.4,-45.5,2.501,1.34,.6,11.6,
62,67,STO,Santos,4.771,4.75,+29,14.37,4.09,30.00,f,6.32,9.02,16.7,-113.00,-,5.1,.476,-,-65.9,-24.4,
63,69,AST,AusNet Services,4.754,1.355,+9.5,1.545,1.222,8.36,p,6.17,7.31,-,.66,205.3,-65.2,1.361,.82,-4.6,12.6,
64,63,BEN,Bendigo&Adelaide Bk,4.745,10.45,+25,14.45,9.90,66.00,f,6.32,9.02,3.1,92.50,11.3,3.5,.937,7.36,-9.6,16.3,
65,62,COH,Cochlear,4.676,81.79,-54,93.97,65.86,190.00,f,2.32,3.01,-25.2,256.10,31.9,55.2,13.244,2.22,21.3,10.7,
66,65,BOQ,Bank of Qld,4.568,12.32,+8,14.73,11.45,70.00,f,5.68,8.12,124.9,77.60,15.9,15.4,1.359,7.01,10.9,24.9,
67,66,FBU,Fletcher Bldg,4.532,6.58,+4,8.70,6.24,31.99,,4.86,4.86,2.9,34.71,19.0,4.8,1.371,2.55,-12.9,9.6,
68,64,HSO,Healthscope,4.451,2.57,-6,3.15,2.35,7.00,,2.72,2.72,-,8.60,29.9,-,1.976,.19,10.3,-,
69,68,HVN,Harvey Norman,4.423,3.98,-2,4.99,3.21,20.00,f,5.03,7.18,44.9,24.51,16.2,19.8,1.739,2.39,20.6,34.4,
70,70,BLD,Boral,4.394,5.75,+9,6.90,4.68,18.00,f,3.13,4.47,20.0,32.90,17.5,83.9,1.227,4.31,17.6,17.0,
71,71,SEK,Seek,4.147,12.04,+8,18.99,11.40,36.00,f,2.99,4.27,20.0,57.70,20.9,7.1,2.287,-.13,-24.3,23.1,
72,72,CGF,Challenger,4.074,7.15,+13,7.44,5.81,30.00,f,4.20,5.73,15.4,54.80,13.0,-5.3,1.516,3.60,2.9,34.4,
73,73,TWE,Treasury Wine,4.051,6.22,+9,6.47,4.08,14.00,,2.25,2.25,7.7,11.90,52.3,-53.4,1.309,3.47,47.7,9.8,
74,75,PTM,Platinum Asset,4.030,6.87,+19,9.50,5.72,37.00,f,5.39,7.69,8.8,36.66,18.7,13.0,11.223,.59,17.2,30.0,
75,74,EGP,Echo Entertainment,4.029,4.88,+11,5.25,3.19,11.00,f,2.25,3.22,37.5,20.50,23.8,34.6,1.298,1.45,48.7,10.1,
76,76,FPH,Fisher & Paykel Hlth,3.803,6.78,-5,6.98,4.55,12.46,,1.84,1.84,8.0,20.01,33.9,19.6,8.284,.78,51.0,59.6,
77,78,TAH,Tabcorp Hldgs,3.790,4.57,+16,5.23,3.190,20.00,f,4.38,6.25,26.3,42.40,10.8,116.7,2.164,-1.13,36.9,25.6,
78,79,HGG,Henderson Grp,3.774,5.89,+22,6.26,3.40,18.97,,3.22,3.22,17.6,30.90,19.1,-11.7,1.883,.63,54.5,55.8,
79,77,FLT,Flight Centre Travel,3.711,36.80,+28,47.38,29.88,152.00,f,4.13,5.90,-,254.70,14.4,-1.4,2.900,8.77,-11.1,19.8,
80,80,REH,Reece Aust,3.566,35.80,+26,36.50,30.05,76.00,f,2.12,3.03,18.8,166.00,21.6,34.6,3.822,6.87,9.0,22.5,
81,81,AWC,Alumina,3.550,1.265,+3.5,2.10,1.18,8.46,f,6.69,9.56,-,3.13,40.4,-,1.168,.95,-22.9,15.3,
82,83,DMP,Domino's Pizza,3.490,40.11,+150,43.30,21.30,51.80,f,1.29,1.84,41.1,74.20,54.1,35.3,11.011,-.54,49.5,62.0,
83,84,SOL,Soul Pattinson WH,3.344,13.97,+27,15.44,12.18,49.00,f,3.51,5.01,4.3,52.36,26.7,-34.5,.854,12.44,-2.1,4.6,
84,82,MYT,Mighty River Power,3.290,2.35,-5.1,3.49,2.20,13.00,,5.53,5.53,2.4,3.03,77.6,-41.7,1.185,2.11,18.4,-,
85,86,MFG,Magellan Fin Grp,3.053,19.01,+44,21.68,12.00,74.90,f,3.94,5.63,95.6,109.20,17.4,108.2,9.810,1.78,53.2,81.8,
86,85,ANN,Ansell,3.051,19.84,-98,30.40,18.11,56.86,,2.87,2.87,31.2,159.51,12.4,47.9,2.108,.30,9.7,11.5,
87,89,BTT,BT Invest Mgt,2.970,10.15,+37,10.97,5.65,36.00,p,3.55,4.11,94.4,41.90,24.2,101.8,4.449,.41,69.2,75.2,
88,88,ABC,Adelaide Brighton,2.913,4.49,+8,5.005,3.12,17.50,f,3.90,5.57,3.0,31.70,14.2,18.6,2.517,1.39,43.4,19.3,
89,87,ILU,Iluka Res,2.856,6.82,-18,9.18,5.57,19.00,f,2.79,3.98,111.1,-12.90,-,-53.5,2.043,3.27,-9.1,-9.5,
90,92,ORA,Orora,2.800,2.32,+10,2.44,1.55,7.50,p,3.23,3.45,25.0,10.90,21.3,130.3,1.858,.96,39.1,-,
91,90,MLT,Milton Corp,2.757,4.30,-1,4.89,4.03,18.40,f,4.28,6.11,-,20.08,21.4,4.2,1.106,4.19,5.9,15.4,
92,93,SKI,Spark Infrastructure,2.757,1.88,+7,2.29,1.70,11.75,,6.25,6.25,4.5,5.17,36.4,-16.6,1.438,1.92,4.7,10.3,
93,91,IFL,IOOF Hldgs,2.701,9.00,+1,10.98,8.18,53.00,f,5.89,8.41,11.6,47.70,18.9,-11.6,1.966,-.13,11.6,22.4,
94,96,MEZ,Meridian Energy,2.498,1.99,+9,2.29,1.85,6.22,,3.13,3.13,24.3,8.36,23.8,28.9,.567,-,62.7,-,
95,95,AIZ,Air New Zealand,2.479,2.21,-1,2.90,1.595,14.80,,6.70,6.70,58.1,25.85,8.5,14.1,1.432,1.47,35.6,43.4,
96,99,IOF,Investa Office Fd,2.401,3.91,+15,4.34,3.28,19.25,,4.92,4.92,4.0,29.20,13.4,-6.6,1.039,3.62,18.1,15.4,
97,94,BSL,BlueScope Steel,2.388,4.18,-22,5.78,2.70,3.00,f,.72,1.02,-,24.30,17.2,129.2,.525,6.35,-17.8,21.0,
98,98,CAR,Carsales.com,2.328,9.69,+8,10.98,9.30,33.90,f,3.50,5.00,5.6,43.20,22.4,3.7,10.061,.31,1.3,10.8,
99,100,BKW,Brickworks,2.300,15.50,+25,15.80,11.52,43.00,f,2.77,3.96,3.7,59.80,25.9,1.1,1.260,10.41,17.5,18.4,
100,105,SPO,Spotless Group,2.295,2.09,+18,2.515,1.73,10.00,,4.78,4.78,-,13.00,16.1,181.9,2.589,-.23,11.2,-,
101,108,BKL,Blackmores,2.274,131.99,+1136,135.55,29.80,203.00,f,1.54,2.20,59.8,270.70,48.8,80.4,15.633,5.27,283.2,62.9,
102,104,REC,Recall Hldgs,2.234,7.12,+34,8.09,4.96,19.00,p,2.67,3.07,137.5,26.95,26.4,-9.8,2.975,-1.09,22.5,-,
103,124,VED,Veda Grp,2.209,2.62,+51,2.80,1.992,10.00,,3.82,3.82,50.0,9.30,28.2,31.2,2.301,-,-7.7,-,
104,97,SGM,Sims Metal Mgt,2.173,10.58,-71,13.05,8.90,29.00,f,2.74,3.91,190.0,53.69,19.7,50.5,1.098,9.19,3.1,6.4,
105,103,DLX,DuluxGroup,2.164,5.56,+4,6.88,5.11,21.50,f,3.87,5.52,17.1,24.70,22.5,12.9,7.367,.25,3.3,23.2,
106,102,QUB,Qube Holdings,2.145,2.03,-1,3.05,1.955,5.50,f,2.71,3.87,7.8,8.20,24.8,20.3,1.448,.72,-15.9,13.9,
107,107,FXJ,Fairfax Media,2.118,.875,+1.5,1.11,.725,4.00,p,4.57,6.03,-,3.50,25.0,-9.4,1.007,.23,15.7,32.8,
108,111,AHD,Amalgamated Hldgs,2.099,13.25,+64,13.39,9.31,45.00,f,3.40,4.85,7.1,68.90,19.2,45.1,2.069,5.44,38.4,29.3,
109,101,ZNZ,Z Energy,2.084,5.21,-28,5.84,3.45,22.30,,4.28,4.28,10.0,1.72,302.9,-95.2,4.349,.56,64.9,-,
110,106,PRY,Primary Health Care,2.079,4.03,-2,5.52,4.00,20.00,p,4.96,6.50,-,26.70,15.1,66.9,.854,1.32,-3.3,8.1,
111,110,SKC,SkyCity Entertain,2.015,3.43,-2,4.18,3.09,15.93,,4.64,4.90,-.4,19.48,17.6,3.2,2.802,6.36,11.1,9.4,
112,109,ALQ,ALS,2.012,4.94,-6,6.68,4.33,21.00,p,4.25,4.56,-17.9,-43.37,-,-31.8,1.658,.05,-1.7,-12.3,
113,118,GNC,GrainCorp,1.984,8.67,+60,10.36,7.67,12.50,f,1.44,2.06,-50.0,13.40,64.7,-45.8,1.059,5.63,-4.7,-,
114,113,BWP,BWP Trust,1.972,3.07,+3,3.44,2.31,15.84,,5.16,5.16,7.7,32.84,9.3,6.1,1.354,2.24,34.1,22.5,
115,115,PPT,Perpetual,1.935,41.54,+94,58.48,37.25,240.00,f,5.78,8.25,37.1,273.70,15.2,23.1,3.240,5.16,-3.4,20.8,
116,116,SRX,Sirtex Medical,1.917,33.54,+48,39.95,14.80,20.00,f,.60,.85,42.9,71.40,47.0,68.8,13.065,1.36,51.9,53.1,
117,114,MYO,MYOB Grp,1.905,3.26,-4,3.92,2.98,-,,-,-,-,-15.00,-,-,-,-.68,-,-,
118,112,APE,AP Eagers,1.901,10.33,-29,10.89,5.20,30.00,f,2.90,4.15,17.4,48.80,21.2,21.0,3.307,2.61,98.2,46.1,
119,119,NUF,Nufarm,1.895,7.15,+19,8.06,3.97,9.00,,1.26,1.26,-,13.65,52.4,7.0,1.147,2.75,44.1,6.1,
120,121,MQA,Macq Atlas Roads,1.858,3.59,+8,3.70,2.54,16.00,,4.46,4.46,19.3,11.63,30.9,-,2.207,1.60,25.7,38.7,
121,120,JBH,JB Hi-Fi,1.851,18.59,+27,22.37,14.35,90.00,f,4.84,6.92,7.1,137.91,13.5,8.4,5.311,2.44,25.3,32.7,
122,117,PMV,Premier Invest,1.844,11.79,-11,14.62,9.25,42.00,f,3.56,5.09,5.3,56.49,20.9,16.0,1.433,3.09,20.8,32.8,
123,132,EVN,Evolution Mining,1.808,1.255,+12,1.305,.435,2.00,,1.59,1.59,7.0,13.71,9.2,91.4,1.454,1.32,76.5,-12.8,
124,122,CHC,Charter Hall Grp,1.792,4.38,-1,5.395,4.00,24.20,,5.53,5.53,8.5,32.80,13.4,33.5,1.496,2.76,12.6,21.6,
125,123,GOZ,Growthpoint Prop,1.787,3.14,+1,3.39,2.62,29.60,,9.43,9.43,3.7,25.70,12.2,13.8,1.262,2.16,23.8,22.9,
126,128,SUL,Super Retail Grp,1.775,9.00,+31,10.96,6.70,40.00,f,4.44,6.35,-,41.20,21.8,-,2.239,.22,6.6,6.9,
127,129,ABP,Abacus Prop,1.756,3.17,+9,3.337,2.49,17.00,,5.36,5.36,1.9,25.46,12.5,19.9,1.186,2.49,26.6,24.8,
128,127,IFZ,Infratil,1.737,2.88,+3,3.03,2.007,7.39,,2.57,2.57,15.2,66.99,4.3,-94.1,.686,2.16,37.2,34.1,
129,130,GNE,Genesis Energy,1.725,1.725,+7.5,2.45,1.455,14.89,,8.63,8.63,140.2,9.29,18.6,22.1,1.021,1.51,2.3,-,
130,126,CMW,Cromwell Property,1.701,.975,-1.5,1.20,.935,7.86,,8.06,8.06,3.1,8.58,11.4,-12.1,1.334,.65,9.6,16.3,
131,131,SKT,Sky Network TV,1.701,4.37,+14,6.15,4.15,27.96,,6.40,6.40,3.0,39.04,11.2,4.8,1.390,.24,-20.3,8.8,
132,125,XRO,Xero,1.665,12.19,-52,25.60,11.90,-,,-,-,-,-53.95,-,98.3,5.121,-,-33.6,-,
133,135,GMA,Genworth Mortg Ins,1.664,2.56,+11,3.893,2.40,25.60,f,10.00,14.29,-,60.76,4.2,-,.637,3.79,-13.9,-,
134,138,CSR,CSR,1.639,3.24,+13,4.43,2.91,20.00,,6.17,6.17,100.0,24.90,13.0,104.2,1.305,2.17,-.4,30.7,
135,136,REG,Regis Healthcare,1.610,5.36,+6,6.52,3.75,17.60,p,3.28,4.18,-,21.16,25.3,-,7.608,-.20,-,-,
136,133,VAH,Virgin Australia,1.605,.455,-.5,.56,.36,-,,-,-,-,-3.20,-,-,1.589,.15,19.6,5.0,
137,134,MTU,M2 Grp,1.601,8.73,-5,11.79,7.32,32.00,f,3.67,5.24,23.1,40.54,21.5,-21.5,4.494,-,19.6,40.5,
138,137,WOR,WorleyParsons,1.589,6.50,+3,16.11,6.13,56.00,,8.62,8.79,-34.1,-22.22,-,-24.2,.784,-,-54.9,-35.6,
139,140,DOW,Downer EDI,1.549,3.58,+10,5.22,3.25,24.00,f,6.70,9.58,4.3,46.60,7.7,-2.4,.740,2.58,-15.8,4.1,
140,139,CQR,Charter Hall Ret REIT,1.545,3.95,+3,4.67,3.72,27.50,,6.96,6.96,-,43.55,9.1,3.9,1.136,3.59,10.6,12.0,
141,152,EBO,EBOS Grp,1.513,10.25,+130,10.30,8.00,38.88,,3.79,3.79,13.9,62.69,16.4,-.2,1.420,.53,12.4,-,
142,142,IRE,IRESS,1.506,9.41,+43,11.29,8.86,41.50,p,4.41,5.24,9.2,31.50,29.9,21.9,4.342,-.55,-6.0,12.2,
143,143,SVW,Seven Grp Hldgs,1.490,5.03,+22,7.75,4.45,40.00,f,7.95,11.36,-,-129.00,-,-37.9,.507,5.67,-23.5,-5.9,
144,141,NVT,Navitas,1.480,3.93,-4,5.61,3.82,19.50,f,4.96,7.09,-,19.10,20.6,11.2,7.231,-.54,-17.1,1.7,
145,145,VOC,Vocus Comms,1.473,6.37,+30,6.59,5.04,3.20,f,.50,.72,77.8,19.31,33.0,75.3,7.151,.70,11.7,53.1,
146,156,NST,Northern Star Res,1.458,2.43,+38,2.56,.915,5.00,f,2.06,2.94,42.9,15.50,15.7,129.7,3.805,.55,67.8,23.0,
147,148,NHF,NIB Hldgs,1.444,3.29,+15,3.885,2.75,11.50,f,3.50,4.99,4.5,17.30,19.0,8.5,4.004,.58,11.6,28.8,
148,146,NEC,Nine Entertainment,1.427,1.59,+3,2.36,1.36,9.20,f,5.79,7.13,119.0,-63.30,-,42.2,1.298,.08,-19.7,-,
149,147,SCP,SCA Property Grp,1.406,1.94,+2,2.24,1.65,11.40,,5.88,5.88,3.6,22.90,8.5,-34.9,1.090,1.77,20.2,-,
150,149,AOG,Aveo Grp,1.381,2.68,+2,3.01,1.94,5.00,,1.87,1.87,25.0,11.60,23.1,28.3,.910,2.85,28.5,22.2,
151,144,NHC,New Hope Corp,1.380,1.66,-4,2.67,1.60,6.00,f,3.61,5.16,-27.3,1.50,110.7,-67.2,.716,2.24,-32.3,-23.8,
152,150,PGH,Pact Grp Hldgs,1.373,4.66,+6,5.17,3.735,19.50,p,4.18,4.78,105.3,23.00,20.3,-32.0,4.145,.04,23.6,-,
153,151,ENE,Energy Devs,1.351,7.93,+1,7.98,5.00,48.00,p,6.05,8.38,-28.6,33.40,23.7,16.2,3.637,1.95,54.2,45.4,
154,154,TME,Trade Me Grp,1.298,3.27,+11,3.83,2.68,14.99,,4.58,4.58,.6,17.89,18.3,-11.4,2.050,-,5.9,3.8,
155,153,IVC,InvoCare,1.226,11.14,-26,14.17,10.53,36.50,f,3.28,4.68,5.8,35.90,31.0,14.1,6.674,.57,7.2,13.4,
156,155,EHE,Estia Health,1.219,6.74,-10,6.98,4.25,13.60,f,2.02,2.88,-,-16.00,-,-,2.194,-.54,-,-,
157,158,AHG,Automotive Hldgs,1.217,3.97,+7,4.68,3.45,22.00,f,5.54,7.91,4.8,28.70,13.8,6.0,1.718,.99,9.6,14.7,
158,166,AAD,Ardent Leisure Grp,1.179,2.63,+22,3.49,1.75,12.50,,4.75,5.24,-3.9,7.38,35.6,-41.8,1.864,.76,-18.5,29.0,
159,157,GEM,G8 Education,1.173,3.19,-11,5.44,2.86,24.00,f,7.52,10.75,58.3,18.78,17.0,58.1,2.239,-.01,-31.1,43.3,
160,162,TNE,Technology One,1.168,3.76,+22,4.31,2.80,6.36,f,1.69,2.41,10.0,9.73,38.6,13.5,10.523,.24,14.5,41.2,
161,165,MSB,Mesoblast,1.157,3.43,+22,4.63,2.91,-,,-,-,-,-37.20,-,42.4,1.775,.23,-26.2,-21.8,
162,161,SWM,Seven West Media,1.150,.76,+2,1.766,.665,10.00,f,13.16,18.79,-13.7,-181.10,-,3.4,.937,-,-47.9,-5.7,
163,163,OZL,OZ Minerals,1.102,3.63,+3,5.01,2.93,16.00,,4.41,4.41,-50.0,35.50,10.2,-,.486,6.68,-4.8,-15.5,
164,164,SDF,Steadfast Group,1.100,1.48,+2,1.685,1.327,5.00,f,3.38,4.82,15.6,7.26,20.4,18.1,1.290,.06,4.3,-,
165,168,MMS,McMillan Shakespr,1.095,13.16,+31,14.84,9.55,52.00,f,3.95,5.64,-,87.00,15.1,33.7,3.355,1.53,30.0,6.1,
166,159,HTA,Hutchison,1.086,.08,-.3,.115,.054,-,,-,-,-,-2.17,-,24.3,3.023,.02,14.6,40.4,
167,160,VRL,Village Roadshow,1.083,6.76,-24,7.47,5.08,28.00,f,4.14,5.92,3.7,27.50,24.6,-2.9,2.134,1.08,3.4,32.7,
