Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, October 26, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4496.3 at 2012-10-26T16:43:06. Report at Friday, October 26, 2012. Processed Saturday at 2012-10-27T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
108,101,AUT,Aurora Oil & Gas,1.697,3.79,-35,4.26,2.76,-,,-,-,-,8.13,46.6,-,6.267,-,30.7,131.6,,
109,103,MSB,Mesoblast,1.690,5.94,-46,8.51,5.44,-,,-,-,-,-25.15,-,420.7,3.529,.40,-27.6,77.6,,
110,111,BKW,Brickworks,1.645,11.13,-8,11.50,9.70,40.50,f,3.64,5.20,-,29.30,38.0,-21.8,.990,9.44,3.1,-1.6,,
111,108,BSL,BlueScope Steel,1.641,.49,-3,.737,.245,-,,-,-,-100.0,-39.10,-,61.7,.434,.91,-31.5,-41.7,,
112,112,ALL,Aristocrat Leisure,1.599,2.90,-10,3.25,2.16,8.00,,2.76,2.76,30.0,14.00,20.7,20.3,6.342,.33,31.4,-12.2,,
113,115,SKT,Sky Network TV,1.595,4.10,+2,4.38,3.70,17.11,,4.17,4.17,19.8,24.88,16.5,4.5,1.625,.42,-,7.3,,
114,114,MIN,Mineral Res,1.573,8.50,-24,13.33,6.19,46.00,f,5.41,7.73,9.5,132.30,6.4,10.8,1.715,4.55,-20.5,10.1,,
115,113,NVT,Navitas,1.562,4.16,-21,4.55,2.83,19.50,f,4.69,6.69,-5.8,19.50,21.3,.5,6.686,-.55,5.5,8.9,,
116,119,HDF,Hastings Divers,1.513,2.70,-,2.74,1.53,10.00,,3.70,3.70,-16.7,-36.22,-,-,3.301,-,73.1,48.9,,
117,116,DOW,Downer EDI,1.510,3.52,-17,4.11,2.89,-,,-,-,-,23.72,14.8,-34.9,.934,2.42,15.4,-23.5,,
118,117,NUF,Nufarm,1.497,5.70,-18,6.30,3.99,6.00,f,1.05,1.50,-,22.30,25.6,19.4,1.014,2.88,21.9,-19.5,,
119,118,AGO,Atlas Iron,1.430,1.58,-10.5,3.43,1.145,3.00,,1.90,1.90,-100.0,-13.00,-,-,.767,1.90,-49.7,-4.0,,
120,121,QUB,Qube Logistics,1.424,1.54,-1.5,1.79,1.25,4.10,f,2.66,3.80,7.9,-.31,-,-,1.305,.45,19.7,30.4,,
121,122,TPI,Transpacific Indust,1.405,.89,-,.95,.675,-,,-,-,-,.90,98.9,4.6,.653,.07,19.4,-13.1,,
122,128,TME,Trade Me Grp,1.394,3.52,+16,3.52,2.14,6.16,,1.75,1.75,-,14.96,23.5,-,2.788,-.27,-,-,,
123,123,IFL,IOOF Hldgs,1.381,6.01,-5,6.46,5.02,37.00,f,6.16,8.79,-14.0,8.40,71.5,-14.1,1.669,.12,.8,11.1,,
124,127,ENV,Envestra,1.368,.87,+1.5,.95,.63,5.80,,6.67,6.67,2.6,4.90,17.8,53.5,2.333,-.01,44.4,28.7,,
125,124,DJS,David Jones,1.364,2.58,-3,3.52,2.10,17.50,f,6.78,9.69,-37.5,19.40,13.3,-40.1,1.758,1.29,-18.5,-16.2,,
126,120,EVN,Evolution Mining,1.345,1.90,-20,2.14,1.24,-,,-,-,-,7.10,26.8,-,1.273,1.47,13.8,4.9,,
127,126,HGG,Henderson Grp,1.286,1.82,-9,2.05,1.33,11.16,,6.13,6.13,-22.8,10.10,18.0,-19.3,1.076,-,2.5,-3.8,,
