Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, July 31, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5681.7 at 2015-07-31T16:43:36. Report at Friday, July 31, 2015. Processed Saturday at 2015-08-01T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
111,118,BSL,BlueScope Steel,2.052,3.63,+31,6.23,2.70,-,f,-,-,-,1.12,324.1,-,.460,6.43,-41.8,32.0,,
112,108,NUF,Nufarm,2.046,7.72,-10,8.06,3.97,9.00,,1.17,1.17,-,13.65,56.6,7.0,1.272,2.75,80.3,13.9,,
113,116,GNC,GrainCorp,2.044,8.93,+35,10.36,7.83,12.50,f,1.40,2.00,-50.0,13.40,66.6,-45.8,1.171,5.63,4.0,2.8,,
114,111,MTU,M2 Grp,2.025,11.04,+6,11.79,5.95,29.50,f,2.67,3.82,30.0,41.31,26.7,90.5,6.085,-,87.7,56.3,,
115,114,AHD,Amalgamated Hldgs,1.991,12.60,-1,13.37,9.25,43.00,f,3.41,4.87,-,52.80,23.9,-5.7,2.163,5.23,38.8,30.0,,
116,113,DOW,Downer EDI,1.981,4.55,-6,5.22,3.93,24.00,f,5.27,7.53,9.5,47.35,9.6,.8,1.010,2.54,-1.7,19.1,,
117,119,CMW,Cromwell Property,1.940,1.115,+4,1.20,.935,7.86,,7.05,7.05,5.2,10.52,10.6,-.3,1.535,.74,17.9,25.5,,
118,117,SGM,Sims Metal Mgt,1.938,9.46,+22,13.05,8.90,26.00,f,2.75,3.93,-,-11.70,-,302.2,1.057,8.83,-19.0,5.6,,
119,121,CHC,Charter Hall Grp,1.924,4.73,+20,5.395,4.00,24.20,,5.12,5.12,10.4,27.62,17.1,6.5,2.098,2.38,14.9,29.5,,
120,115,JBH,JB Hi-Fi,1.912,19.31,-60,21.94,14.35,88.00,f,4.56,6.51,16.7,127.32,15.2,8.4,6.490,2.56,1.9,36.2,,
121,123,CSR,CSR,1.892,3.74,+18,4.43,3.15,20.00,,5.35,5.35,100.0,24.90,15.0,104.2,1.569,2.17,4.6,49.8,,
122,124,APE,AP Eagers,1.885,10.49,+51,10.89,5.20,27.00,f,2.57,3.68,17.4,43.00,24.4,21.0,3.188,2.38,87.9,49.2,,
123,120,GOZ,Growthpoint Prop,1.878,3.30,+6,3.34,2.48,29.60,,8.97,8.97,4.9,25.70,12.8,-13.9,1.612,2.16,41.6,26.1,,
124,122,SUL,Super Retail Grp,1.819,9.23,-11,10.96,6.70,40.00,f,4.33,6.19,5.3,40.80,22.6,-7.1,2.392,.16,1.9,10.5,,
125,127,MQA,Macq Atlas Roads,1.770,3.42,+8,3.66,2.54,14.20,,4.15,4.15,19.3,-10.17,-,-,2.151,1.61,7.8,42.8,,
126,125,SRX,Sirtex Medical,1.761,30.84,-47,39.95,14.80,14.00,f,.45,.65,16.7,53.90,57.2,29.1,16.372,1.03,64.2,70.7,,
127,132,REG,Regis Healthcare,1.724,5.74,+29,6.10,3.75,-,,-,-,-,6.20,92.6,-,10.286,-.25,-,-,,
128,135,ABP,Abacus Prop,1.720,3.11,+21,3.337,2.45,17.00,,5.47,5.47,1.5,24.24,12.8,42.5,1.333,2.42,27.3,24.2,,
129,129,IFZ,Infratil,1.689,2.80,-,3.03,1.942,7.39,,2.64,2.64,15.2,66.99,4.2,-94.1,.674,2.16,47.6,33.3,,
130,133,IRE,IRESS,1.664,10.40,+20,11.29,8.36,41.50,p,3.99,4.67,9.2,32.33,32.2,21.9,5.029,-.57,23.6,22.0,,
131,131,SVW,Seven Grp Hldgs,1.641,5.54,-2,7.95,5.05,40.00,f,7.22,10.31,-,14.00,39.6,-38.7,.522,6.52,-24.1,-3.8,,
