ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4056.7 at 2011-08-08T16:36:02. Report at Monday, August 8, 2011. Processed Tuesday at 2011-08-09T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
iShares MSCI Taiwan cdi,ITW,12.89,13.82,13.82,,
iShares S&P 500 cdi,IVV,113.45,118.00,118.00,,
iShares S&P Asia 50 cdi,IAA,39.76,42.23,42.23,,
iShares S&P Europe 350 cdi,IEU,34.00,36.13,36.13,,
iShares S&P High Div,IHD,12.62,13.83,13.83,,
iShares S&P Mcap 400 cdi,IJH,80.01,85.82,85.82,,
iShares S&P/ASX 20,ILC,16.00,18.99,18.99,,
iShares Small Ords,ISO,4.19,4.68,4.62,,
James Hardie Ind cdi,JHX,5.02,5.63,5.56,,
JB Hi-Fi,JBH,13.55,14.95,14.95,,
Jumbuck Entertain,JMB,.10,.12,.12,,
K & S Corp,KSC,1.035,1.38,1.31,,
Karoon Gas Aust,KAR,3.34,4.17,4.17,,
Leighton Hldgs,LEI,18.16,20.95,20.16,,
Lemarne Corp,LMC,3.31,3.70,3.70,,
Liontown Res,LTR,.035,.048,.043,,
Living Cell Tech,LCT,.051,.06,.06,,
LogiCamms,LCM,.80,.98,.98,,
Lonrho Mining,LOM,.025,.03,.03,,
Macmahon Hldgs,MAH,.455,.575,.53,,
Macquarie Bank inc sec,MBLHB,65.95,75.00,75.00,,
Macquarie CPS Tr pref,MQCPA,96.00,103.75,102.20,,
Magnum Min & Exp,MGU,.04,.063,.056,,
Marion Energy,MAE,.009,.013,.013,,
Melbourne IT,MLB,1.60,1.755,1.755,,
Metal Bank Ltd,MBK,.095,.14,.11,,
Midas Res,MDS,.021,.029,.029,,
  opt nov12,MDSOC,.005,.011,.009,,
Milton Corp,MLT,14.60,15.17,15.00,,
Minara Resources,MRE,.605,.665,.645,,
Mincor Res,MCR,.70,.89,.89,,
Mindax,MDX,.19,.22,.22,,
Minotaur Explore,MEP,.175,.205,.205,,
Mirrabooka Invest,MIR,1.59,1.755,1.755,,
Mirvac Grp stp,MGR,1.005,1.14,1.14,,
